dataset,family,steps,episodes_data,episodes_meta,task,has_reward,reward_nan,has_episode_reward,episode_reward_nan,has_episode_success,episode_success_nan,has_episode_damage,episode_damage_nan,has_episode_drop,episode_drop_nan,status,include_for_training,exclusion_reason,notes
egg_carton_to_tray/pick_place_soft_20260213_1921,egg_carton_to_tray,3401,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260213_1936,egg_carton_to_tray,2401,8,8,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260217_1847,egg_carton_to_tray,3386,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260217_1905,egg_carton_to_tray,2910,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260217_2003,egg_carton_to_tray,3198,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260217_2020,egg_carton_to_tray,3372,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260218_1414,egg_carton_to_tray,2761,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260218_1422,egg_carton_to_tray,3194,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260218_1429,egg_carton_to_tray,3059,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260218_1446,egg_carton_to_tray,1363,4,4,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray/pick_place_soft_20260219_1759,egg_carton_to_tray,2923,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray_cracked/pick_place_soft_20260219_1820,egg_carton_to_tray_cracked,2242,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray_cracked/pick_place_soft_20260219_1831,egg_carton_to_tray_cracked,2128,10,10,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
egg_carton_to_tray_cracked/pick_place_soft_20260219_1839,egg_carton_to_tray_cracked,1613,8,8,"Open the carton, put the egg on the tray, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1405,pick_and_place_bottle,3413,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1453,pick_and_place_bottle,2599,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1502,pick_and_place_bottle,2344,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1510,pick_and_place_bottle,2567,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1651,pick_and_place_bottle,2662,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1702,pick_and_place_bottle,2393,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1709,pick_and_place_bottle,2605,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1717,pick_and_place_bottle,2687,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1729,pick_and_place_bottle,4668,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_bottle/pick_place_medium_20260211_1729_2,pick_and_place_bottle,3354,10,10,"Pick and place the bottle, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1541,pick_and_place_can,3013,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1549,pick_and_place_can,2932,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1558,pick_and_place_can,3421,9,9,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1622,pick_and_place_can,959,3,3,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1627,pick_and_place_can,3018,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1640,pick_and_place_can,3091,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_1955,pick_and_place_can,2946,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_2004,pick_and_place_can,2967,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_2011,pick_and_place_can,3360,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_2020,pick_and_place_can,3323,10,10,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_can/pick_place_medium_20260210_2032,pick_and_place_can,2428,8,8,"Pick and place the can, medium hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1703,pick_and_place_waffle,2829,10,10,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1719,pick_and_place_waffle,2842,10,10,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1732,pick_and_place_waffle,2268,8,8,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1822,pick_and_place_waffle,1082,4,4,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1832,pick_and_place_waffle,1695,7,7,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1839,pick_and_place_waffle,2447,10,10,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1846,pick_and_place_waffle,683,3,3,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,Historical fix: removed stale meta episodes [3]; Historical fix: episode_reward NaN reduced 1 -> 0
pick_and_place_waffle/pick_place_soft_20260212_1851,pick_and_place_waffle,2146,10,10,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1856,pick_and_place_waffle,2050,10,10,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1902,pick_and_place_waffle,1827,10,10,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1912,pick_and_place_waffle,966,5,5,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_1959,pick_and_place_waffle,1159,3,3,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_2031,pick_and_place_waffle,1800,6,6,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
pick_and_place_waffle/pick_place_soft_20260212_2043,pick_and_place_waffle,1340,4,4,"Pick and place the waffle, soft hardness",True,0,True,0,True,0,True,0,True,0,OK,True,,
